date;time;status;reference;description;assetType;type;isin;shares;price;amount;fee;tax;currency
2024-10-08;16:45:44;Executed;"SCALpQmqDSjnytg";"iShares Physical Gold ETC";Security;Buy;IE00B4ND3602;12;46,50;-558,00;0,00;0,00;EUR
2024-10-08;16:43:41;Cancelled;"SCAL6giTAnhydPX";"iShares Physical Gold ETC";Security;Buy;IE00B4ND3602;0;0,00;0,00;0,00;0,00;EUR
2024-10-08;16:42:18;Cancelled;"SCAL4TZsTBhbBve";"iShares Physical Gold ETC";Security;Buy;IE00B4ND3602;0;0,00;0,00;0,00;0,00;EUR
2024-10-07;02:00:00;Executed;"944534565";"Emergency fund";Cash;Deposit;;;;600,00;0,00;;EUR
2024-10-01;16:34:49;Executed;"SCALzBbz3cu6kjz";"iShares Physical Gold ETC";Security;Savings plan;IE00B4ND3602;0,47;46,802;-21,9969;0,00;0,00;EUR
2024-09-26;12:15:53;Executed;"SCALmWoBZu3Wmok";"iShares Physical Gold ETC";Security;Buy;IE00B4ND3602;6;46,582;-279,492;0,00;0,00;EUR
2024-09-25;02:00:00;Executed;"943744213";"Emergency fund";Cash;Deposit;;;;300,00;0,00;;EUR
2024-08-14;16:02:09;Executed;"SCALtKS6qQQbuXw";"iShares Physical Gold ETC";Security;Buy;IE00B4ND3602;12;43,30;-519,60;0,00;0,00;EUR
2024-08-14;16:01:26;Cancelled;"SCALqAPU4bXFRUG";"iShares Physical Gold ETC";Security;Buy;IE00B4ND3602;0;0,00;0,00;0,00;0,00;EUR
2024-08-14;15:58:08;Cancelled;"SCALA48Dv7b8F3m";"iShares Physical Gold ETC";Security;Buy;IE00B4ND3602;0;0,00;0,00;0,00;0,00;EUR
2024-08-08;02:00:00;Executed;"942010732";"Gutschrift";Cash;Deposit;;;;500,00;0,00;;EUR
2024-07-26;11:56:47;Executed;"SCALsvYUvPtunwc";"iShares Physical Gold ETC";Security;Buy;IE00B4ND3602;6;42,516;-255,096;0,00;0,00;EUR
2024-07-26;11:56:02;Executed;"SCALADAB4TodEJ3";"iShares Physical Gold ETC";Security;Buy;IE00B4ND3602;6;42,514;-255,084;0,00;0,00;EUR
2024-07-25;02:00:00;Executed;"941125926";"Gutschrift";Cash;Deposit;;;;500,00;0,00;;EUR
2024-07-24;21:04:23;Executed;"SCALxCV8bMyLz2v";"iShares Physical Gold ETC";Security;Buy;IE00B4ND3602;11;43,42;-477,62;0,00;0,00;EUR
2024-07-24;21:03:52;Cancelled;"SCAL19KDRtY44hv";"iShares Physical Gold ETC";Security;Buy;IE00B4ND3602;0;0,00;0,00;0,00;0,00;EUR
2024-07-24;20:12:24;Cancelled;"SCALYbtPUxz1a2M";"iShares Physical Gold ETC";Security;Buy;IE00B4ND3602;0;0,00;0,00;0,00;0,00;EUR
2024-07-23;02:00:00;Executed;"941069143";"Gutschrift";Cash;Deposit;;;;500,00;0,00;;EUR
2024-06-07;15:53:22;Executed;"SCALBgjHCDwXJPf";"iShares Physical Gold ETC";Security;Buy;IE00B4ND3602;7;41,49;-290,43;0,00;0,00;EUR
2024-06-05;02:00:00;Executed;"938859205";"Gutschrift";Cash;Deposit;;;;50,00;0,00;;EUR
2024-06-04;16:17:02;Executed;"SCALv5U36hbc9Ps";"iShares Physical Gold ETC";Security;Buy;IE00B4ND3602;7;41,502;-290,514;0,00;0,00;EUR
2024-06-04;16:14:56;Executed;"SCAL93QuA1ZvjR3";"iShares Physical Gold ETC";Security;Buy;IE00B4ND3602;7;41,548;-290,836;0,00;0,00;EUR
2024-06-03;02:00:00;Executed;"938672196";"Gutschrift";Cash;Deposit;;;;500,00;0,00;;EUR
2024-06-03;02:00:00;Executed;"938672197";"Gutschrift";Cash;Deposit;;;;300,00;0,00;;EUR
2024-05-31;16:10:30;Executed;"SCAL69LMeQMxLV8";"iShares Physical Gold ETC";Security;Buy;IE00B4ND3602;6;41,898;-251,388;0,00;0,00;EUR
2024-05-31;08:35:24;Cancelled;"SCALx9rNUScczVn";"iShares Physical Gold ETC";Security;Buy;IE00B4ND3602;0;0,00;0,00;0,00;0,00;EUR
2024-05-28;10:49:16;Executed;"SCALXkHcEVfpozc";"iShares Physical Gold ETC";Security;Buy;IE00B4ND3602;6;41,936;-251,616;0,00;0,00;EUR
2024-05-21;02:00:00;Executed;"938092153";"Gutschrift";Cash;Deposit;;;;500,00;0,00;;EUR
2024-05-03;13:12:32;Executed;"SCALLiAFUrZRBDD";"iShares Physical Gold ETC";Security;Buy;IE00B4ND3602;7;41,598;-291,186;0,00;0,00;EUR
2024-04-30;10:56:13;Executed;"SCALg61mxV2xHzv";"iShares Physical Gold ETC";Security;Buy;IE00B4ND3602;10;42,00;-420,00;0,00;0,00;EUR
2024-04-29;08:07:44;Cancelled;"SCALHoyTbxSQcZb";"iShares Physical Gold ETC";Security;Buy;IE00B4ND3602;0;0,00;0,00;0,00;0,00;EUR
2024-04-29;07:31:08;Cancelled;"SCALy8eW57Y1eHW";"iShares Physical Gold ETC";Security;Buy;IE00B4ND3602;0;0,00;0,00;0,00;0,00;EUR
2024-04-29;07:31:08;Cancelled;"SCALD8LZXQ5crke";"iShares Physical Gold ETC";Security;Buy;IE00B4ND3602;0;0,00;0,00;0,00;0,00;EUR
2024-04-26;19:18:46;Executed;"SCALvBNmNPfuX3Q";"iShares Physical Gold ETC";Security;Buy;IE00B4ND3602;6;42,666;-255,996;0,00;0,00;EUR
2024-04-25;02:00:00;Executed;"UMKBGXJVWK5ABZURJHYVHQ";"Scalable Capital Broker deposit";Cash;Deposit;;;;1.000,00;0,00;;EUR
2024-01-15;12:07:55;Executed;"SCALEHB3UJsbbuj";"iShares S&P 500 Information Technology Sector UCITS ETF";Security;Savings plan;IE00B3WJKG14;2,211;22,605;-49,9796;0,00;0,00;EUR
2024-01-11;01:00:00;Executed;"CBC47PXZFCKSLIYMAXPH81";"Scalable Capital Broker first deposit";Cash;Deposit;;;;1,00;0,00;;EUR
2024-01-09;01:00:00;Executed;"932513760";"first deposit";Cash;Deposit;;;;50,00;0,00;;EUR
